"Errors Count:","Errors Count:"
"Errors 24h:","Errors 24h:"
"Errors 1h:","Errors 1h:"
"Most Recent Error TS:","Most Recent Error TS:"
"Schema Update","Schema Update"
"'Zaius Tracker ID missing or not set.<br/><br/>' . . ' <a href=""' . . '"">' . . '</a><br/>' .","'Zaius Tracker ID missing or not set.<br/><br/>' . . ' <a href=""' . . '"">' . . '</a><br/>' ."
"'Zaius Private API key missing or not set.<br/><br/>' . . ' <a href=""' . . '"">' . . '</a><br/>' .","'Zaius Private API key missing or not set.<br/><br/>' . . ' <a href=""' . . '"">' . . '</a><br/>' ."
"Zaius Engage API","Zaius Engage API"
"Zaius Engage Config","Zaius Engage Config"
Zaius,Zaius
"Zaius Engage","Zaius Engage"
"Zaius Engage Status","Zaius Engage Status"
Enabled,Enabled
Version,Version
"Zaius Engage Version","Zaius Engage Version"
"Error Summary","Error Summary"
"Composer Installed?","Composer Installed?"
"Checks if Composer is installed.","Checks if Composer is installed."
"SDK Installed?","SDK Installed?"
"Checks if the Zaius SDK is installed.","Checks if the Zaius SDK is installed."
"Zaius Tracker ID","Zaius Tracker ID"
"Found at: <a href=""https://app.zaius.com/app?scope=731#/api_management"" target=""_blank"">API Management</a> in your Zaius Account.","Found at: <a href=""https://app.zaius.com/app?scope=731#/api_management"" target=""_blank"">API Management</a> in your Zaius Account."
"Zaius Private API Key","Zaius Private API Key"
"Amazon S3","Amazon S3"
"Enabled Amazon S3","Enabled Amazon S3"
"Amazon S3 Key","Amazon S3 Key"
"Found at: <a href=""https://app.zaius.com/app?scope=731#/integrations?activeTab=amazon_s3"" target=""_blank"">Integrations</a> in your Zaius Account.","Found at: <a href=""https://app.zaius.com/app?scope=731#/integrations?activeTab=amazon_s3"" target=""_blank"">Integrations</a> in your Zaius Account."
"Amazon S3 Secret","Amazon S3 Secret"
Settings,Settings
"Global ID Prefix","Global ID Prefix"
"Specify a Global ID Prefix.","Specify a Global ID Prefix."
"Zaius Newsletter List ID","Zaius Newsletter List ID"
"Specify a Newsletter List ID.","Specify a Newsletter List ID."
"Track Orders on Frontend","Track Orders on Frontend"
"Choose if you want to track orders.","Choose if you want to track orders."
"Collect All Product Attributes","Collect All Product Attributes"
"Choose if you want to collect all product attributes, or only the minimum.","Choose if you want to collect all product attributes, or only the minimum."
Timeout,Timeout
"Number of seconds to wait before timing out the connection to Zaius.","Number of seconds to wait before timing out the connection to Zaius."
"Batch Updates","Batch Updates"
"Update Schema","Update Schema"
"Zaius Localizations","Zaius Localizations"
"Localizations are currently in beta. Please consult with your Zaius Customer Success Manager prior to enabling this feature","Localizations are currently in beta. Please consult with your Zaius Customer Success Manager prior to enabling this feature"
